Rk,Squad,MP,W,D,L,Pts,GF,GA
1,Manchester City,38,27,5,6,86,83,32
2,Manchester Utd,38,21,11,6,74,73,44
3,Liverpool,38,20,9,9,69,68,42
4,Chelsea,38,19,10,9,67,58,36
5,Leicester City,38,20,6,12,66,68,50
6,West Ham,38,19,8,11,65,62,47
7,Tottenham,38,18,8,12,62,68,45
8,Arsenal,38,18,7,13,61,55,39
9,Leeds United,38,18,5,15,59,62,54
10,Everton,38,17,8,13,59,47,48
11,Aston Villa,38,16,7,15,55,55,46
12,Newcastle Utd,38,12,9,17,45,46,62
13,Wolves,38,12,9,17,45,36,52
14,Crystal Palace,38,12,8,18,44,41,66
15,Southampton,38,12,7,19,43,47,68
16,Brighton,38,9,14,15,41,40,46
17,Burnley,38,10,9,19,39,33,55
18,Fulham,38,5,13,20,28,27,53
19,West Brom,38,5,11,22,26,35,76
20,Sheffield Utd,38,7,2,29,23,20,63
