Rk,Squad,MP,W,D,L,GD,GF,GA
1,Liverpool,38,32,3,3,52,85,33
2,Manchester City,38,26,3,9,67,102,35
3,Manchester Utd,38,18,12,8,30,66,36
4,Chelsea,38,20,6,12,15,69,54
5,Leicester City,38,18,8,12,26,67,41
6,Tottenham,38,16,11,11,14,61,47
7,Wolves,38,15,14,9,11,51,40
8,Arsenal,38,14,14,10,8,56,48
9,Sheffield Utd,38,14,12,12,0,39,39
10,Burnley,38,15,9,14,-7,43,50
11,Southampton,38,15,7,16,-9,51,60
12,Everton,38,13,10,15,-12,44,56
13,Newcastle Utd,38,11,11,16,-20,38,58
14,Crystal Palace,38,11,10,17,-19,31,50
15,Brighton,38,9,14,15,-15,39,54
16,West Ham,38,10,9,19,-13,49,62
17,Aston Villa,38,9,8,21,-26,41,67
18,Bournemouth,38,9,7,22,-25,40,65
19,Watford,38,8,10,20,-28,36,64
20,Norwich City,38,5,6,27,-49,26,75
