Squad,Poss,Shots,GCA,Final Third,Tackle,Press,Blocks,Int,Pass
Arsenal,53.8,455,95,1318,510,4685,562,337,17802
Aston Villa,48.1,518,86,1079,590,5446,603,377,12779
Brighton,51.3,476,60,1084,664,5179,579,395,15598
Burnley,41.7,383,46,881,562,4654,650,399,10644
Chelsea,61.4,553,97,1440,676,5376,582,444,21646
Crystal Palace,40.1,346,70,781,694,5700,659,460,11391
Everton,46.5,395,78,968,684,5660,669,401,14670
Fulham,49.9,440,47,991,671,5145,569,499,15183
Leeds United,57.6,524,108,1111,825,6661,577,477,15996
Leicester City,54.6,472,111,1164,734,5142,605,434,16726
Liverpool,62.4,600,94,1742,560,5394,504,385,21527
Manchester City,63.9,590,138,1833,554,4560,438,339,23578
Manchester Utd,55.8,517,122,1364,590,5041,608,455,18495
Newcastle Utd,38.2,387,68,693,607,5423,641,415,10617
Sheffield Utd,41.5,319,25,959,669,6123,630,440,12057
Southampton,52.2,417,80,889,784,5714,624,435,14758
Tottenham,51.7,442,110,1081,694,5871,582,370,16142
West Brom,37.6,336,57,792,662,5491,678,447,9741
West Ham,42.9,462,94,944,559,4989,603,426,12533
Wolves,49.3,462,56,1031,618,5195,539,388,15234
